F1,F2,FZ,F3,F4,F5,FY,FXL,F6,F7,F8,NIR,Juice,Concentration [%],Timestamp
67,82,151,141,99,131,321,375,309,155,65,78,Blackcurrant,100,2025-12-14 10:59:36
187,267,635,521,404,407,781,677,451,273,163,202,Blackcurrant,20,2025-12-14 11:01:54
135,184,408,347,271,290,583,542,376,219,120,148,Blackcurrant,40,2025-12-14 11:02:47
97,129,266,230,174,202,438,446,330,181,89,110,Blackcurrant,60,2025-12-14 11:03:32
69,90,175,152,114,140,331,364,282,151,66,80,Blackcurrant,80,2025-12-14 11:04:13
63,88,235,213,196,175,376,322,199,113,57,70,Orange,10,2025-12-14 11:07:30
14,22,91,88,86,72,195,188,109,53,15,17,Orange,20,2025-12-14 11:08:15
1,4,23,23,35,27,89,85,48,21,2,2,Orange,40,2025-12-14 11:09:22
0,1,7,7,18,16,53,52,30,14,2,1,Orange,60,2025-12-14 11:10:12
0,1,3,4,13,12,41,42,25,11,1,1,Orange,80,2025-12-14 11:12:10
0,1,3,4,14,12,43,45,27,13,1,1,Orange,100,2025-12-14 11:12:46
53,74,185,165,165,152,336,299,190,104,49,59,Tomato,10,2025-12-14 11:16:00
7,13,43,39,54,47,143,142,92,42,9,10,Tomato,20,2025-12-14 11:16:52
0,1,5,5,12,12,48,58,46,20,2,2,Tomato,40,2025-12-14 11:17:45
0,0,1,1,2,3,17,25,26,12,1,1,Tomato,60,2025-12-14 11:18:36
0,0,1,1,1,2,12,19,23,11,1,1,Tomato,80,2025-12-14 11:19:49
0,0,2,3,1,1,8,14,17,9,1,0,Tomato,100,2025-12-14 11:20:42
227,304,711,626,537,511,961,787,505,314,197,242,Apple,20,2025-12-14 11:33:09
221,295,672,583,529,493,904,734,472,304,192,237,Apple,40,2025-12-14 11:33:56
197,254,557,492,476,449,832,682,434,274,172,213,Apple,60,2025-12-14 11:34:44
217,268,579,542,507,497,933,783,500,307,190,233,Apple,80,2025-12-14 11:35:38
188,230,474,449,450,433,814,682,436,268,164,203,Apple,100,2025-12-14 11:36:35
252,362,885,742,598,551,994,804,522,338,218,267,Water,100,2025-12-14 11:42:36
