F1,F2,FZ,F3,F4,F5,FY,FXL,F6,F7,F8,NIR,Juice,Concentration [%],Timestamp
275,387,939,795,617,604,996,891,576,368,238,291,Water,100,2025-12-10 18:07:47
275,387,938,794,616,603,996,891,576,368,237,291,Water,100,2025-12-10 18:07:49
275,387,938,794,617,604,996,891,576,368,238,291,Water,100,2025-12-10 18:07:50
275,387,939,795,617,603,996,892,576,368,238,292,Water,100,2025-12-10 18:07:52
275,387,938,794,617,604,996,891,577,368,237,291,Water,100,2025-12-10 18:07:53
199,271,626,538,406,428,819,726,487,294,175,214,Blackcurrant,20,2025-12-10 18:15:01
199,271,626,540,406,428,820,726,488,294,175,214,Blackcurrant,20,2025-12-10 18:15:03
199,270,625,539,406,428,820,725,487,294,175,214,Blackcurrant,20,2025-12-10 18:15:05
199,270,624,537,406,427,819,723,487,294,175,214,Blackcurrant,20,2025-12-10 18:15:07
199,270,625,539,406,427,819,725,487,294,174,214,Blackcurrant,20,2025-12-10 18:15:08
129,175,376,322,245,273,557,530,376,215,117,143,Blackcurrant,40,2025-12-10 18:16:22
129,175,376,322,246,273,557,530,376,215,116,143,Blackcurrant,40,2025-12-10 18:16:24
129,175,377,322,245,273,557,530,375,215,116,143,Blackcurrant,40,2025-12-10 18:16:25
130,175,376,322,245,273,557,530,376,215,116,143,Blackcurrant,40,2025-12-10 18:16:27
129,175,377,322,245,273,557,530,375,215,117,143,Blackcurrant,40,2025-12-10 18:16:28
100,129,254,226,164,202,444,466,352,195,93,113,Blackcurrant,60,2025-12-10 18:17:35
100,128,254,225,165,202,443,466,352,194,93,113,Blackcurrant,60,2025-12-10 18:17:36
100,129,254,225,165,202,443,466,352,195,93,113,Blackcurrant,60,2025-12-10 18:17:38
100,129,254,225,165,202,443,466,352,195,93,113,Blackcurrant,60,2025-12-10 18:17:40
100,129,255,225,165,202,443,466,352,194,93,113,Blackcurrant,60,2025-12-10 18:17:42
68,87,162,144,102,134,321,365,292,151,65,79,Blackcurrant,80,2025-12-10 18:19:57
68,86,162,144,102,134,321,365,292,151,65,79,Blackcurrant,80,2025-12-10 18:19:58
68,87,162,144,102,134,321,365,292,151,65,79,Blackcurrant,80,2025-12-10 18:20:00
68,87,162,144,102,134,321,365,291,151,65,79,Blackcurrant,80,2025-12-10 18:20:02
68,87,162,144,102,134,321,365,292,151,65,79,Blackcurrant,80,2025-12-10 18:20:07
51,63,107,99,70,97,253,308,263,134,51,62,Blackcurrant,100,2025-12-10 18:22:05
51,63,107,99,70,96,253,308,263,134,51,62,Blackcurrant,100,2025-12-10 18:22:07
51,63,107,99,70,97,253,309,263,135,52,62,Blackcurrant,100,2025-12-10 18:22:08
51,63,107,99,70,97,253,309,263,135,52,62,Blackcurrant,100,2025-12-10 18:22:09
51,63,107,99,70,97,253,308,263,134,51,62,Blackcurrant,100,2025-12-10 18:22:11
20,31,104,101,100,85,217,198,118,59,20,24,Orange,20,2025-12-10 18:30:18
20,30,104,101,100,85,217,198,118,59,20,24,Orange,20,2025-12-10 18:30:20
20,30,104,101,100,84,217,198,118,59,20,24,Orange,20,2025-12-10 18:30:22
20,30,104,101,100,85,217,198,118,59,20,24,Orange,20,2025-12-10 18:30:23
20,30,104,101,100,85,217,198,118,59,20,24,Orange,20,2025-12-10 18:30:25
4,8,39,39,53,42,130,123,71,32,5,6,Orange,40,2025-12-10 18:31:51
3,8,39,39,53,42,130,123,71,32,5,6,Orange,40,2025-12-10 18:31:52
3,8,39,39,53,42,130,123,71,32,5,6,Orange,40,2025-12-10 18:31:54
3,8,39,39,53,42,130,123,71,32,5,6,Orange,40,2025-12-10 18:31:55
3,8,39,39,53,42,130,123,71,32,5,6,Orange,40,2025-12-10 18:31:57
1,3,19,19,33,27,89,89,51,23,3,2,Orange,60,2025-12-10 18:33:18
1,3,19,19,33,27,89,89,51,23,3,2,Orange,60,2025-12-10 18:33:19
